"_id","_labels","name","_start","_end","_type"
"0",":Concept","n_gram_language_models",,,
"1",":Concept","linear_approximation",,,
"2",":Concept","linear_regression",,,
"3",":Concept","vector",,,
"4",":Concept","independent_random_variables",,,
"5",":Concept","maximum_likelihood",,,
"6",":Concept","generalization",,,
"7",":Concept","multiple_integrals",,,
"8",":Concept","expectation_and_variance",,,
"9",":Concept","dot_product",,,
"10",":Concept","softmax_regression",,,
"11",":Concept","binary_linear_classifier",,,
"12",":Concept","probability",,,
"13",":Concept","gradient_descent",,,
"14",":Concept","conditional_probability",,,
"15",":Concept","chain_rule",,,
"16",":Concept","multivariate_distribution",,,
"17",":Concept","gaussian_distribution",,,
"18",":Concept","feed_forward_neural_net",,,
"19",":Concept","limits_and_continuity_in_r_n",,,
"20",":Concept","linear_regression_as_maximum_likelihood",,,
"21",":Concept","gradient",,,
"22",":Concept","ridge_regression",,,
"23",":Concept","random_variable",,,
"24",":Concept","logistic_regression",,,
"25",":Concept","partial_derivative",,,
"26",":Concept","basis_function_expansion",,,
"27",":Concept","matrix_multiplication",,,
"28",":Concept","functions_of_several_variables",,,
"29",":Concept","stochastic_gradient_descent",,,
"30",":Concept","backpropagation",,,
"31",":Concept","neural_probabilistic_language_models",,,
"32",":Concept","independent_events",,,
"33",":Concept","recurrent_neural_networks",,,
"34",":Concept","optimization_problems",,,
,,,"0","20","PREREQUISITE"
,,,"0","33","PREREQUISITE"
,,,"1","10","PREREQUISITE"
,,,"1","13","PREREQUISITE"
,,,"1","25","PREREQUISITE"
,,,"1","29","PREREQUISITE"
,,,"1","30","PREREQUISITE"
,,,"1","31","PREREQUISITE"
,,,"2","6","PREREQUISITE"
,,,"2","10","PREREQUISITE"
,,,"2","11","PREREQUISITE"
,,,"2","18","PREREQUISITE"
,,,"2","20","PREREQUISITE"
,,,"2","31","PREREQUISITE"
,,,"3","2","PREREQUISITE"
,,,"3","9","PREREQUISITE"
,,,"3","10","PREREQUISITE"
,,,"3","13","PREREQUISITE"
,,,"3","22","PREREQUISITE"
,,,"3","24","PREREQUISITE"
,,,"3","29","PREREQUISITE"
,,,"3","30","PREREQUISITE"
,,,"3","33","PREREQUISITE"
,,,"4","7","PREREQUISITE"
,,,"4","10","PREREQUISITE"
,,,"5","24","PREREQUISITE"
,,,"6","3","PREREQUISITE"
,,,"6","27","PREREQUISITE"
,,,"6","31","PREREQUISITE"
,,,"7","4","PREREQUISITE"
,,,"7","10","PREREQUISITE"
,,,"7","24","PREREQUISITE"
,,,"7","31","PREREQUISITE"
,,,"8","5","PREREQUISITE"
,,,"9","2","PREREQUISITE"
,,,"9","6","PREREQUISITE"
,,,"9","11","PREREQUISITE"
,,,"9","15","PREREQUISITE"
